"ID,""Alimento"",""Energia_kcal"",""Energia_kJ"",""Agua_g"",""Proteinas_g"",""Grasa_total_g"",""CHO_totales_g"",""CHO_disponibles_g"",""Fibra_g"",""Cenizas_g"",""Calcio_mg"",""Fosforo_mg"",""Zinc_mg"",""Hierro_mg"",""B_caroteno_equivalentes_ug"",""Vitamina_A_equivalentes_ug"",""Tiamina_mg"",""Riboflavina_mg"",""Niacina_mg"",""Vitamina_C_mg"",""Acido_Folico_ug"",""Sodio_mg"",""Potasio_mg"",""ID"""
"A_77,""Barra de cereales (maíz. trigo. arroz) sabor a miel con leche. vitaminas y minerales"",397,1660,6.4,4.4,8.5,79,75.5,3.4,1.6,NA,NA,NA,10.82,NA,NA,NA,NA,NA,NA,NA,110,69,""A_77"""
"A_78,""Bollito de maíz de Huánuco"",426,1781,13.1,9.6,17.5,57.5,NA,NA,2.4,NA,NA,NA,2.95,NA,NA,0.39,0.33,2.48,NA,195,NA,NA,""A_78"""
"A_79,""Bollito de yema de Huánuco"",384,1606,18,9.9,12.6,57.5,NA,NA,1.9,NA,NA,NA,4.23,NA,NA,0.72,0.27,3.3,NA,165,NA,NA,""A_79"""
"A_80,""Cañihua. harina de"",327,1367,10.2,15.2,8.3,63,48.2,14.9,3.3,182,350,5.68,15.2,NA,NA,NA,NA,NA,NA,NA,11,1500,""A_80"""
"A_81,""Cañihua. variedad roja"",381,1594,10.7,15.4,7.5,62.7,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_81"""
"A_82,""Cañihua. variedad blanca"",382,1597,10.7,15.4,7.7,62.5,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_82"""
"A_83,""Galleta de soda (San Jorge)"",440,1843,3.9,9.3,13.3,70.8,NA,NA,2.7,68,NA,0.83,7.7,NA,0,NA,NA,NA,0,NA,NA,NA,""A_83"""
"A_84,""Galleta de vainilla (Field)"",462,1933,2.7,7.3,15.6,73.1,NA,NA,1.3,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_84"""
"A_85,""Galleta dulce con avena y base sabor a chocolate (con fibra)"",461,1929,2.9,6.7,19.8,69,64.1,4.9,1.6,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,253,255,""A_85"""
"A_86,""Galleta dulce con avena y base sabor a frutos rojos"",465,1946,2.7,6.7,20.8,68,62.8,5.1,1.9,NA,NA,NA,2.81,NA,NA,NA,NA,NA,NA,NA,330,188,""A_86"""
"A_87,""Galleta dulce con avena y granola (con fibra)"",444,1859,3.2,8,16.9,70.2,65.2,5,1.7,NA,NA,NA,2.56,NA,NA,NA,NA,NA,NA,NA,301,207,""A_87"""
"A_88,""Galleta dulce con avena. manzana y canela (con fibra)"",426,1784,3.4,7.2,14.3,73.6,67.4,6.2,1.7,NA,NA,NA,2.01,NA,NA,NA,NA,NA,NA,NA,302,196,""A_88"""
"A_89,""Galleta dulce con avena y uvas pasas (con fibra)"",433,1812,3.3,7.2,14.9,73,67.6,5.4,1.7,NA,NA,NA,3.44,NA,NA,NA,NA,NA,NA,NA,323,200,""A_89"""
"A_90,""Galleta dulce con relleno (Casino)"",499,2087,1.9,4.7,22,70.5,NA,NA,0.9,27,NA,0.4,5.2,NA,0,NA,NA,NA,0,NA,NA,NA,""A_90"""
"A_91,""Galleta dulce con relleno “chocolate” (Coronita)"",492,2058,2.5,5.7,21.1,69.8,NA,NA,0.9,21,NA,0.98,3.7,NA,0,NA,NA,NA,0,NA,NA,NA,""A_91"""
"A_92,""Galletas nutritivas de maca"",443,1854,3,7,16.1,72.2,67.6,4.6,1.7,NA,NA,NA,3.39,NA,NA,NA,NA,NA,NA,NA,388,188,""A_92"""
"A_93,""Hiwicto marfil oscuro"",368,1481,10.6,9,2,76.8,NA,NA,1.6,44,318,NA,3,NA,NA,0.42,0.1,NA,0.6,NA,NA,NA,""A_93"""
"A_94,""Hiwicto negro"",365,1469,12,9,2.7,74.6,NA,NA,1.7,38,318,NA,3.5,NA,NA,0.35,0.19,NA,0,NA,NA,NA,""A_94"""
"A_95,""Kara ceniza o kala"",367,1481,10.3,11.6,2.3,73.6,NA,NA,2.2,104,284,NA,5.8,NA,NA,0,0,NA,0,NA,NA,NA,""A_95"""
"A_96,""Kara color pajizo"",366,1469,11.1,7.2,2.5,76.9,NA,NA,2.3,60,303,NA,8,NA,NA,0.38,0.1,NA,1.1,NA,NA,NA,""A_96"""
"A_97,""Kiwicha. harina de"",352,1474,10.9,12.2,7.9,66.4,58,8.4,2.6,214,360,3.76,5.3,NA,NA,NA,NA,NA,NA,NA,2,663,""A_97"""
"A_98,""Kiwicha pop de Huánuco"",370,1548,8.6,13.1,8.9,66.5,59.5,7.1,2.9,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_98"""
"A_99,""Kiwicha. precocida. hojuela de"",400,1675,8.4,13.4,8.1,68,NA,NA,2,NA,NA,2.77,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_99"""
"A_100,""Kiwicha. precocida. hojuela de (orgánica)"",352,1473,10.8,11.9,7.6,67.7,58.9,8.7,2.1,NA,NA,2.8,5.02,NA,0,0,0.09,0.97,3.2,NA,NA,NA,""A_100"""
"A_101,""Llipta sara. variedad de maíz"",370,1550,11.3,7.4,4.2,75.9,NA,NA,1.4,5,244,NA,1.4,NA,NA,0.31,0.12,NA,0.85,NA,NA,NA,""A_101"""
"A_102,""Maíz blanco. harina"",343,1435,11.6,5.5,5,76.6,71,5.6,1.3,19,272,1.73,2.35,NA,11,0.25,0.08,1.9,0,0,2,6,""A_102"""
"A_103,""Maíz blanco precocido. harina de (chochoca)"",328,1371,12.1,6.8,5.2,74.8,65.9,8.9,1.2,NA,NA,1.76,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_103"""
"A_104,""Maíz morado. harina de (api)"",318,1331,11.4,8.5,4.2,74.3,64.5,9.8,1.7,29,300,2.6,6.47,NA,NA,NA,NA,NA,NA,NA,16,63,""A_104"""
"A_105,""Pan árabe"",290,1213,27.8,10.3,3.5,56.7,54.3,2.4,1.7,NA,NA,NA,6.98,NA,NA,NA,0.32,6.47,NA,106,NA,NA,""A_105"""
"A_106,""Pan cachanga"",445,1862,17.4,7.7,26.1,47.4,NA,NA,1.4,NA,NA,NA,3.99,NA,NA,NA,0.27,NA,NA,NA,NA,NA,""A_106"""
"A_107,""Pan campesino de Lima"",276,1153,36.1,10,5.7,46,NA,NA,2.2,NA,NA,NA,3.53,NA,NA,0.48,0.21,2.46,NA,142,NA,NA,""A_107"""
"A_108,""Pan ciabatta"",265,1108,32.1,9.2,2,55,52.6,2.5,1.7,NA,NA,NA,5.59,NA,NA,NA,0.71,4.94,NA,122,NA,NA,""A_108"""
"A_109,""Pan chapla"",321,1343,22.2,9.3,3.5,63.2,NA,NA,1.9,NA,NA,NA,4.67,NA,NA,NA,0.37,NA,NA,NA,NA,NA,""A_109"""
"A_110,""Pan chuta"",387,1620,16.3,9.5,11.1,62.3,NA,NA,0.8,NA,NA,NA,4.71,NA,NA,NA,0.39,NA,NA,NA,NA,NA,""A_110"""
"A_111,""Pan cortadillo de Cajamarca"",361,1509,17.8,6.9,7.1,67.2,NA,NA,1,NA,NA,NA,4.37,NA,NA,0.63,0.29,5.49,NA,65,NA,NA,""A_111"""
"A_112,""Pan cuay de trigo de Carhuaz"",358,1500,23.8,10,11.6,53.4,NA,NA,1.2,NA,NA,NA,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_112"""
"A_113,""Pan cuay de trigo de Huaraz"",297,1241,31.6,7.6,10.1,48.9,43.8,5.1,1.8,NA,NA,NA,4.45,NA,NA,0.33,0.34,3.01,NA,NA,NA,NA,""A_113"""
"A_114,""Pan de calabaza de Huancavelica"",274,1148,35.3,11.5,3.9,48.4,NA,NA,0.9,NA,NA,NA,4.79,NA,NA,0.61,0.25,3.35,NA,322,NA,NA,""A_114"""
"A_115,""Pan de chicharrón de Chiclayo"",338,1414,25.5,9.9,9,54.3,NA,NA,1.2,NA,NA,NA,7.61,NA,NA,0.84,0.2,4.63,NA,288,NA,NA,""A_115"""
"A_116,""Pan de girasol de Lima"",267,1115,40.9,10.7,7.7,38.7,NA,NA,2.1,NA,NA,NA,3.02,NA,NA,0.45,0.18,2.14,NA,139,NA,NA,""A_116"""
"A_117,""Pan de hamburguesa de Iquitos"",316,1323,24.4,10.8,4.7,57.7,NA,NA,2.4,NA,NA,NA,6.15,NA,NA,0.88,0.46,4.71,NA,191,NA,NA,""A_117"""
"A_118,""Pan de huevo"",336,1408,23.2,9.3,6.9,59.4,NA,NA,1.3,NA,NA,NA,5.79,NA,NA,NA,0.35,NA,NA,NA,NA,NA,""A_118"""
"A_119,""Pan de maíz"",319,1336,25.4,7.7,8.7,56.7,52.6,4.1,1.6,NA,NA,NA,3.49,NA,NA,NA,0.24,3.81,NA,103,NA,NA,""A_119"""
"A_120,""Pan de maíz de Carhuaz"",323,1352,27.9,9.2,8,53.5,NA,NA,1.4,NA,NA,NA,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_120"""
"A_121,""Pan de maíz de Huaraz"",359,1501,22,8,15.2,53,47.5,5.5,1.9,NA,NA,NA,3.5,NA,NA,0.25,0.29,2.96,NA,NA,NA,NA,""A_121"""
"A_122,""Pan de quinua de Lima"",241,1009,39.8,9.5,1.7,47,NA,NA,2.1,NA,NA,NA,3.31,NA,NA,0.48,0.21,2.54,NA,115,NA,NA,""A_122"""
"A_123,""Pan de trigo artesanal de Carhuaz"",286,1197,32.5,8.8,4.6,52.4,NA,NA,1.7,NA,NA,NA,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,""A_123"""
"A_124,""Pan de yema"",321,1342,25.6,9.4,8.1,55.4,52.5,2.9,1.5,NA,NA,NA,4.47,NA,NA,NA,0.29,4.01,NA,70,NA,NA,""A_124"""
"A_125,""Pan de yema de Cajamarca"",365,1526,23.7,9.2,12.9,52.9,NA,NA,1.3,NA,NA,NA,6.74,NA,NA,1.37,0.5,4.82,NA,30,NA,NA,""A_125"""
"A_126,""Pan dulce de Lima"",290,1215,32.6,11.9,5,49.5,NA,NA,1.1,NA,NA,NA,3.3,NA,NA,0.56,0.42,2.82,NA,133,NA,NA,""A_126"""
"A_127,""Pan huaro"",338,1413,21.1,9.9,5.5,62.2,NA,NA,1.3,NA,NA,NA,5.4,NA,NA,NA,0.39,NA,NA,NA,NA,NA,""A_127"""
"A_128,""Pan Huascarán de Lima"",265,1111,37.3,9.4,4.8,46.3,NA,NA,2.3,NA,NA,NA,4.79,NA,NA,0.6,0.17,1.67,NA,111,NA,NA,""A_128"""
"A_129,""Pan integral"",339,1419,24.3,9.1,9,55.5,NA,NA,2.2,NA,NA,NA,5.16,NA,NA,NA,0.4,NA,NA,NA,NA,NA,""A_129"""
"A_130,""Pan marraqueta de Chiclayo"",321,1342,21,6.4,2.2,68.9,NA,NA,1.5,NA,NA,NA,6,NA,NA,0.92,0.24,5.26,NA,219,NA,NA,""A_130"""
"A_131,""Pan mestizo de Huánuco"",399,1668,18.1,9.6,15.7,54.8,NA,NA,1.9,NA,NA,NA,4.24,NA,NA,0.23,0.28,3.83,NA,183,NA,NA,""A_131"""
